"","country","year","gdpPerCapita","lifeExpectancy","continent"
"1","Afghanistan","2000",NA,54.6,"Asia"
"2","Albania","2000",2240,74.9,"Europe"
"3","Algeria","2000",3560,74,"Africa"
"4","Andorra","2000",40400,81.2,"Europe"
"5","Angola","2000",2200,51.7,"Africa"
"6","Antigua and Barbuda","2000",13200,74.7,"North America"
"7","Argentina","2000",8220,74.2,"South America"
"8","Armenia","2000",1400,72.3,"Europe"
"9","Australia","2000",44300,79.5,"Oceania"
"10","Austria","2000",42000,78.3,"Europe"
"11","Azerbaijan","2000",1660,66.8,"Europe"
"12","Bahamas","2000",31600,71.5,"North America"
"13","Bahrain","2000",23000,72.6,"Asia"
"14","Bangladesh","2000",525,65.5,"Asia"
"15","Barbados","2000",15600,74.8,"North America"
"16","Belarus","2000",2810,68.8,"Europe"
"17","Belgium","2000",39600,77.8,"Europe"
"18","Belize","2000",3860,70.3,"North America"
"19","Benin","2000",950,57.5,"Africa"
"20","Bhutan","2000",1120,65.7,"Asia"
"21","Bolivia","2000",1600,66.5,"South America"
"22","Bosnia and Herzegovina","2000",3020,75.3,"Europe"
"23","Botswana","2000",5210,54,"Africa"
"24","Brazil","2000",8800,71.4,"South America"
"25","Brunei","2000",35900,73.8,"Asia"
"26","Bulgaria","2000",3980,71.6,"Europe"
"27","Burundi","2000",229,44.9,"Africa"
"28","Cambodia","2000",431,60.2,"Asia"
"29","Cameroon","2000",1150,54.8,"Africa"
"30","Canada","2000",39300,79.2,"North America"
"31","Cape Verde","2000",2220,71.2,"Africa"
"32","Central African Republic","2000",423,44.3,"Africa"
"33","Chad","2000",462,52.1,"Africa"
"34","Chile","2000",9420,76.9,"South America"
"35","China","2000",1770,72.1,"Asia"
"36","Colombia","2000",4860,74.1,"South America"
"37","Comoros","2000",1300,61.6,"Africa"
"38","Costa Rica","2000",6170,77.9,"North America"
"39","Croatia","2000",10500,74.5,"Europe"
"40","Cuba","2000",3480,76.8,"North America"
"41","Cyprus","2000",26700,76.8,"Europe"
"42","Denmark","2000",55900,77,"Europe"
"43","Djibouti","2000",NA,60.5,"Africa"
"44","Dominica","2000",5580,73.7,"North America"
"45","Dominican Republic","2000",4050,73.9,"North America"
"46","Ecuador","2000",3660,74.2,"South America"
"47","Egypt","2000",1980,68.7,"Africa"
"48","El Salvador","2000",2670,72.4,"North America"
"49","Equatorial Guinea","2000",5560,55.6,"Africa"
"50","Eritrea","2000",635,53.3,"Africa"
"51","Estonia","2000",10100,71,"Europe"
"52","Ethiopia","2000",197,50.8,"Africa"
"53","Fiji","2000",3320,65.9,"Oceania"
"54","Finland","2000",40400,77.8,"Europe"
"55","France","2000",38300,79.1,"Europe"
"56","Gabon","2000",10200,59.3,"Africa"
"57","Gambia","2000",833,61.7,"Africa"
"58","Georgia","2000",1630,73.1,"Europe"
"59","Germany","2000",37900,78.3,"Europe"
"60","Ghana","2000",953,59.4,"Africa"
"61","Greece","2000",23300,78.8,"Europe"
"62","Grenada","2000",6280,73.9,"North America"
"63","Guatemala","2000",2570,68,"North America"
"64","Guinea","2000",613,54.4,"Africa"
"65","Guinea-Bissau","2000",550,52,"Africa"
"66","Guyana","2000",2400,66.2,"South America"
"67","Haiti","2000",756,57.4,"North America"
"68","Honduras","2000",1610,70.4,"North America"
"69","Hungary","2000",10500,71.8,"Europe"
"70","Iceland","2000",37500,80.1,"Europe"
"71","India","2000",827,62.9,"Asia"
"72","Indonesia","2000",2140,67.3,"Asia"
"73","Iran","2000",4820,73.6,"Asia"
"74","Iraq","2000",4320,66.7,"Asia"
"75","Ireland","2000",44100,76.6,"Europe"
"76","Israel","2000",27700,78.7,"Asia"
"77","Italy","2000",36300,79.6,"Europe"
"78","Jamaica","2000",4660,74,"North America"
"79","Japan","2000",42200,81.4,"Asia"
"80","Jordan","2000",2840,72.8,"Asia"
"81","Kazakhstan","2000",4490,65.5,"Asia"
"82","Kenya","2000",820,55.6,"Africa"
"83","Kiribati","2000",1720,59.3,"Oceania"
"84","Kuwait","2000",36100,78.6,"Asia"
"85","Latvia","2000",6960,70.7,"Europe"
"86","Lebanon","2000",5720,75.4,"Asia"
"87","Lesotho","2000",810,48.9,"Africa"
"88","Liberia","2000",614,54.3,"Africa"
"89","Libya","2000",8960,73.2,"Africa"
"90","Lithuania","2000",6930,72.3,"Europe"
"91","Luxembourg","2000",93500,78,"Europe"
"92","Madagascar","2000",490,58.9,"Africa"
"93","Malawi","2000",393,44.6,"Africa"
"94","Malaysia","2000",7010,72.8,"Asia"
"95","Maldives","2000",5800,72.3,"Asia"
"96","Mali","2000",555,53.3,"Africa"
"97","Malta","2000",18300,78.5,"Europe"
"98","Marshall Islands","2000",2700,61.7,"Oceania"
"99","Mauritania","2000",1470,63.5,"Africa"
"100","Mauritius","2000",5660,72.2,"Africa"
"101","Mexico","2000",9250,74.6,"North America"
"102","Moldova","2000",1450,68.6,"Europe"
"103","Mongolia","2000",1600,62,"Asia"
"104","Montenegro","2000",4950,73.9,"Europe"
"105","Morocco","2000",1980,69.3,"Africa"
"106","Mozambique","2000",289,50.5,"Africa"
"107","Namibia","2000",4010,54.5,"Africa"
"108","Nepal","2000",455,65.7,"Asia"
"109","Netherlands","2000",46400,78.1,"Europe"
"110","New Zealand","2000",29400,78.3,"Oceania"
"111","Nicaragua","2000",1290,75,"North America"
"112","Niger","2000",428,51.8,"Africa"
"113","Nigeria","2000",1380,55.2,"Africa"
"114","Norway","2000",81700,78.6,"Europe"
"115","Oman","2000",18200,73,"Asia"
"116","Pakistan","2000",820,61.9,"Asia"
"117","Panama","2000",5490,77.4,"North America"
"118","Papua New Guinea","2000",1640,56,"Oceania"
"119","Paraguay","2000",3570,74.5,"South America"
"120","Peru","2000",3240,74.7,"South America"
"121","Philippines","2000",1670,69.3,"Asia"
"122","Poland","2000",8530,73.9,"Europe"
"123","Portugal","2000",21500,76.7,"Europe"
"124","Qatar","2000",60800,74.1,"Asia"
"125","Romania","2000",4900,71.1,"Europe"
"126","Rwanda","2000",353,49.6,"Africa"
"127","Samoa","2000",2860,71.7,"Oceania"
"128","Sao Tome and Principe","2000",NA,64.6,"Africa"
"129","Saudi Arabia","2000",18400,74.7,"Asia"
"130","Senegal","2000",1120,60.6,"Africa"
"131","Serbia","2000",3520,72.1,"Europe"
"132","Seychelles","2000",9790,71.5,"Africa"
"133","Sierra Leone","2000",302,50.9,"Africa"
"134","Singapore","2000",33900,79.3,"Asia"
"135","Slovenia","2000",18500,76,"Europe"
"136","Solomon Islands","2000",1250,61.5,"Oceania"
"137","South Africa","2000",5940,55.6,"Africa"
"138","South Sudan","2000",NA,54.4,"Africa"
"139","Spain","2000",28400,79.4,"Europe"
"140","Sri Lanka","2000",1830,71.6,"Asia"
"141","Sudan","2000",993,63.4,"Africa"
"142","Suriname","2000",5730,69.5,"South America"
"143","Sweden","2000",44900,79.8,"Europe"
"144","Switzerland","2000",67800,80.1,"Europe"
"145","Tajikistan","2000",415,67.8,"Asia"
"146","Tanzania","2000",522,53.5,"Africa"
"147","Thailand","2000",3460,71.8,"Asia"
"148","Togo","2000",559,56.9,"Africa"
"149","Tonga","2000",3280,70.7,"Oceania"
"150","Trinidad and Tobago","2000",9790,70.4,"North America"
"151","Tunisia","2000",3000,74.3,"Africa"
"152","Turkey","2000",8240,74.1,"Asia"
"153","Turkmenistan","2000",2380,66.7,"Asia"
"154","Uganda","2000",549,49.1,"Africa"
"155","Ukraine","2000",1820,68,"Europe"
"156","United Arab Emirates","2000",63300,71.8,"Asia"
"157","United Kingdom","2000",35700,78,"Europe"
"158","Uruguay","2000",9000,74.6,"South America"
"159","Uzbekistan","2000",979,67.3,"Asia"
"160","Vanuatu","2000",2840,63.4,"Oceania"
"161","Venezuela","2000",11900,74,"South America"
"162","Vietnam","2000",765,71.5,"Asia"
"163","Yemen","2000",1170,63.3,"Asia"
"164","Zambia","2000",949,46,"Africa"
"165","Zimbabwe","2000",1450,46.6,"Africa"
"166","Afghanistan","2001",NA,54.8,"Asia"
"167","Albania","2001",2450,75.2,"Europe"
"168","Algeria","2001",3620,74.2,"Africa"
"169","Andorra","2001",42400,81.4,"Europe"
"170","Angola","2001",2210,52.4,"Africa"
"171","Antigua and Barbuda","2001",12300,74.9,"North America"
"172","Argentina","2001",7780,74.3,"South America"
"173","Armenia","2001",1550,72.6,"Europe"
"174","Australia","2001",44600,80,"Oceania"
"175","Austria","2001",42400,78.7,"Europe"
"176","Azerbaijan","2001",1810,67.2,"Europe"
"177","Bahamas","2001",31900,71.6,"North America"
"178","Bahrain","2001",22400,73.7,"Asia"
"179","Bangladesh","2001",541,66.1,"Asia"
"180","Barbados","2001",15100,75.3,"North America"
"181","Belarus","2001",2960,68.3,"Europe"
"182","Belgium","2001",39900,78.1,"Europe"
"183","Belize","2001",3920,70.9,"North America"
"184","Benin","2001",971,57.7,"Africa"
"185","Bhutan","2001",1190,67.1,"Asia"
"186","Bolivia","2001",1600,67.2,"South America"
"187","Bosnia and Herzegovina","2001",3150,75.5,"Europe"
"188","Botswana","2001",5130,52.8,"Africa"
"189","Brazil","2001",8800,71.8,"South America"
"190","Brunei","2001",36200,74,"Asia"
"191","Bulgaria","2001",4220,71.9,"Europe"
"192","Burundi","2001",229,45.7,"Africa"
"193","Cambodia","2001",454,60.8,"Asia"
"194","Cameroon","2001",1170,54.7,"Africa"
"195","Canada","2001",39500,79.5,"North America"
"196","Cape Verde","2001",2230,71.5,"Africa"
"197","Central African Republic","2001",432,44.3,"Africa"
"198","Chad","2001",497,52.3,"Africa"
"199","Chile","2001",9620,76.8,"South America"
"200","China","2001",1900,72.6,"Asia"
"201","Colombia","2001",4870,74.3,"South America"
