"","year","id","ballot","age","childs","sibs","degree","race","sex","region","income16","relig","marital","padeg","madeg","partyid","polviews","happy","partners","grass","zodiac","pres12","wtssall","income_rc","agegrp","ageq","siblings","kids","religion","bigregion","partners_rc","obama"
"1",2016,1,1,47,3,2,"Bachelor","White","Male","New England","$170000 or over","None","Married","Graduate","High School","Independent","Moderate","Pretty Happy",,NA,"Aquarius",3,0.956993511490439,"Gt $170000","Age 45-55","Age 34-49","2","3","None","Northeast",NA,0
"2",2016,2,2,61,0,3,"High School","White","Male","New England","$50000 to 59999","None","Never Married","Lt High School","High School","Ind,near Dem","Liberal","Pretty Happy","1 Partner","Legal","Scorpio",1,0.478496755745219,"Gt $50000","Age 55-65","Age 49-62","3","0","None","Northeast","1",1
"3",2016,3,3,72,2,3,"Bachelor","White","Male","New England","$75000 to $89999","Catholic","Married","High School","Lt High School","Not Str Republican","Conservative","Very Happy","1 Partner","Not Legal","Pisces",2,0.956993511490439,"Gt $75000","Age 65+","Age 62+","3","2","Catholic","Northeast","1",0
"4",2016,4,1,43,4,3,"High School","White","Female","New England","$170000 or over","Catholic","Married",,"High School","Not Str Republican","Moderate","Pretty Happy",NA,NA,"Cancer",2,1.91398702298088,"Gt $170000","Age 35-45","Age 34-49","3","4+","Catholic","Northeast",NA,0
"5",2016,5,3,55,2,2,"Graduate","White","Female","New England","$170000 or over","None","Married","Bachelor","High School","Not Str Democrat","Slightly Liberal","Very Happy","1 Partner","Legal","Scorpio",1,1.43549026723566,"Gt $170000","Age 45-55","Age 49-62","2","2","None","Northeast","1",1
"6",2016,6,2,53,2,2,"Junior College","White","Female","New England","$60000 to 74999","None","Married",,"High School","Not Str Democrat","Slightly Liberal","Very Happy","1 Partner","Legal","Scorpio",1,0.956993511490439,"Gt $60000","Age 45-55","Age 49-62","2","2","None","Northeast","1",1
"7",2016,7,1,50,2,2,"High School","White","Male","New England","$170000 or over","None","Married","High School","High School","Not Str Republican","Slightly Liberal","Pretty Happy",,NA,"Capricorn",NA,1.43549026723566,"Gt $170000","Age 45-55","Age 49-62","2","2","None","Northeast",NA,NA
"8",2016,8,3,23,3,6,"High School","Other","Female","Middle Atlantic","$30000 to 34999","Catholic","Married","Lt High School","Lt High School","Ind,near Dem","Slightly Conservative","Very Happy","1 Partner","Not Legal","Aquarius",,0.956993511490439,"Gt $30000","Age 18-35","Age 18-34","6+","3","Catholic","Northeast","1",NA
"9",2016,9,1,45,3,5,"High School","Black","Male","Middle Atlantic","$60000 to 74999","Protestant","Married","Lt High School","Lt High School","Strong Democrat",,"Pretty Happy",NA,NA,NA,NA,0.956993511490439,"Gt $60000","Age 35-45","Age 34-49","5","3","Protestant","Northeast",NA,NA
"10",2016,10,3,71,4,1,"Junior College","White","Male","Middle Atlantic","$60000 to 74999","None","Divorced","High School","High School","Strong Republican","Conservative","Pretty Happy","3 Partners","Not Legal","Sagittarius",2,0.956993511490439,"Gt $60000","Age 65+","Age 62+","1","4+","None","Northeast","3",0
"11",2016,11,2,33,5,4,"High School","Black","Female","Middle Atlantic","under $1 000","Protestant","Never Married","High School","Lt High School","Strong Democrat",,NA,"1 Partner","Legal","Leo",NA,0.478496755745219,"Gt $0","Age 18-35","Age 18-34","4","4+","Protestant","Northeast","1",NA
"12",2016,12,1,86,4,4,"High School","White","Female","Middle Atlantic","under $1 000","Protestant","Widowed","High School",,"Strong Republican","Slightly Conservative","Not Too Happy",NA,NA,"Cancer",NA,0.782181681487619,"Gt $0","Age 65+","Age 62+","4","4+","Protestant","Northeast",NA,NA
"13",2016,13,2,32,3,3,"High School","Black","Male","Middle Atlantic","$8 000 to 9 999","Catholic","Married",,"High School","Ind,near Dem","Slightly Liberal","Very Happy","1 Partner","Legal","Libra",1,1.91398702298088,"Gt $0","Age 18-35","Age 18-34","3","3","Catholic","Northeast","1",1
"14",2016,14,3,60,5,6,"High School","Black","Female","Middle Atlantic","$12500 to 14999","Protestant","Married","High School",,"Strong Democrat","Liberal","Very Happy",NA,"Legal","Aquarius",1,0.478496755745219,"Gt $10000","Age 55-65","Age 49-62","6+","4+","Protestant","Northeast",NA,1
"15",2016,15,2,76,7,0,"Lt High School","White","Male","New England","$40000 to 49999","Catholic","Divorced","Lt High School","Lt High School","Independent","Moderate","Pretty Happy","No Partners","Not Legal","Virgo",2,0.478496755745219,"Gt $40000","Age 65+","Age 62+","0","4+","Catholic","Northeast","0",0
"16",2016,16,3,33,2,1,"High School","White","Female","New England","$50000 to 59999","Other","Never Married","High School",,"Independent","Moderate","Pretty Happy","1 Partner","Legal","Taurus",1,0.956993511490439,"Gt $50000","Age 18-35","Age 18-34","1","2","Other","Northeast","1",1
"17",2016,17,3,56,6,3,"High School","White","Male","New England","$50000 to 59999","Protestant","Married","Lt High School","Lt High School",,"Conservative","Very Happy","No Partners","Legal","Cancer",2,1.91398702298088,"Gt $50000","Age 55-65","Age 49-62","3","4+","Protestant","Northeast","0",0
"18",2016,18,2,62,5,8,"Lt High School","Other","Female","New England","$5 000 to 5 999","Protestant","Widowed",,"Lt High School","Strong Democrat","Slightly Liberal","Pretty Happy",NA,"Legal","Pisces",1,0.478496755745219,"Gt $0","Age 55-65","Age 49-62","6+","4+","Protestant","Northeast",NA,1
"19",2016,19,2,31,0,2,"Graduate","Black","Male","New England","$35000 to 39999","None","Never Married","High School","Junior College","Ind,near Dem","Liberal","Pretty Happy","2 Partners","Legal","Sagittarius",1,0.478496755745219,"Gt $35000","Age 18-35","Age 18-34","2","0","None","Northeast","2",1
