country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,343,333,357,365,406,412,488,543,529,576,588,584,574,571,572,568,571
Albania,,,,,,,,,,,,,,,,,,,,,1990,2060,2080,2060,1990,1990,2060,2000,1940,2070,1840,1330,1240,1370,1490,1700,1870,1680,1840,2090,2240,2450,2570,2730,2890,3060,3260,3490,3780,3930,4090,4210,4280,4330,4410,4520,4680,4860,5070,5210
Algeria,2480,2090,1640,2150,2210,2290,2120,2260,2430,2560,2710,2340,2900,2930,3060,3120,3290,3370,3570,3730,3640,3640,3750,3830,3930,3950,3850,3720,3580,3640,3570,3440,3420,3280,3180,3240,3320,3300,3410,3470,3560,3620,3770,3990,4110,4290,4300,4380,4410,4400,4480,4520,4590,4620,4700,4780,4830,4790,4760,4710
Andorra,,,,,,,,,,,41700,41400,42600,43700,44200,42700,42600,42500,41900,40600,40100,38500,37400,36400,35500,34700,34400,34800,35200,35500,35400,34900,33900,32400,32300,32600,33800,36900,38200,39600,40400,42400,42600,44300,46000,46900,47800,47600,44300,41700,40900,41200,39800,39100,40900,42100,44100,44400,45100,45900
Angola,,,,,,,,,,,,,,,,,,,,,3180,2930,2830,2850,2910,2910,2890,2900,2980,2880,2690,2620,2390,1760,1730,1920,2110,2200,2230,2200,2200,2210,2430,2420,2600,2880,3100,3410,3650,3550,3590,3580,3750,3800,3840,3750,3530,3410,3230,3100
Antigua and Barbuda,,,,,,,,,,,,,,,,,,5200,5440,5880,6370,6620,6620,6970,7680,8270,9220,9840,10300,10800,11100,11200,11100,11500,12000,11200,11700,12100,12400,12600,13200,12300,12300,12900,13400,14100,15700,16800,16600,14300,13000,12600,12900,12600,13000,13300,13900,14200,15100,15700
Argentina,5640,5850,5710,5320,5770,6290,6150,6260,6460,6980,7080,7370,7370,7450,7740,7620,7350,7740,7290,7910,7910,7380,7210,7400,7400,6900,7210,7290,7100,6500,6250,6720,7160,7640,7990,7670,7990,8540,8770,8380,8220,7780,6850,7380,7960,8580,9170,9900,10200,9500,10400,10900,10600,10800,10400,10600,10200,10400,10000,9730
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1600,948,885,956,1040,1120,1170,1270,1320,1400,1550,1760,2020,2240,2570,2930,3360,3630,3140,3220,3370,3600,3710,3820,3920,3920,4200,4410,4730
Australia,19400,19500,19200,20100,21000,21900,21900,23000,23700,24900,26100,26300,26800,27100,27500,27500,27900,28600,28500,29400,29900,30400,30900,29900,30900,32000,32800,33100,34500,35200,35900,35300,35000,36100,37100,38100,39100,40200,41600,43200,44300,44600,45800,46600,47900,48800,49400,51000,51800,51800,52000,52600,53700,54100,54700,55100,55700,56100,56900,57100
Austria,13000,13700,14000,14400,15200,15600,16400,16800,17400,18500,19600,20500,21600,22600,23400,23400,24500,25700,25700,27100,27600,27500,28000,28900,28900,29600,30300,30700,31600,32700,33900,34700,35000,34900,35600,36500,37300,38100,39400,40700,42000,42400,42900,43100,44000,44600,46000,47500,48100,46100,46900,48100,48200,47900,47800,47800,48300,49100,50100,50700
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3170,3100,2360,1790,1420,1230,1240,1300,1410,1510,1660,1810,1960,2150,2330,2950,3920,4860,5270,5640,5840,5680,5720,5980,6070,6060,5810,5760,5800,5880
Bahamas,17700,18700,19600,20600,21700,22900,23900,25100,26200,27500,25200,24900,23500,24800,20200,16900,17400,18600,20800,25600,26700,23700,24700,25100,28000,28800,28800,29100,29300,30700,29700,27900,26300,25900,26300,27000,27800,28000,29000,30700,31600,31900,32200,31300,31000,31400,31600,31500,30200,28400,28400,28200,28800,27700,27600,27500,27400,27100,27300,27500
Bahrain,,,,,,,,,,,,,,,,,,,,,21200,19300,17300,17900,18300,16900,16600,17700,18200,17700,17900,19400,20200,22200,21600,21900,22200,22300,22600,22800,23000,22400,22000,22100,22100,22100,21800,21800,21600,20800,20700,20500,20900,21800,22400,22400,22300,22100,21500,20900
Bangladesh,372,384,394,381,411,405,402,382,406,399,411,381,322,328,354,333,344,344,359,366,359,375,374,378,386,389,394,399,398,399,411,416,429,439,447,460,470,481,496,508,525,541,552,568,588,618,650,687,720,748,781,822,866,907,951,1000,1060,1130,1200,1290
Barbados,,,,,,,,,,,,,,,11200,10900,11300,11600,12100,13000,13600,13300,12600,12600,13000,13100,13700,14000,14500,14900,14400,13800,13000,13000,13200,13400,13900,14500,15000,15000,15600,15100,15200,15500,15700,16200,17100,17400,17400,16500,16100,15900,15800,15500,15500,15800,16200,16300,16100,16100
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3100,3060,2760,2550,2250,2020,2090,2340,2540,2640,2810,2960,3130,3370,3780,4160,4610,5030,5560,5580,6030,6370,6480,6540,6650,6380,6220,6380,6590,6680
Belgium,13000,13600,14300,14800,15700,16100,16500,17000,17700,18800,19800,20600,21600,22900,23800,23300,24600,24700,25400,25900,27100,27000,27200,27200,27900,28400,28900,29500,30800,31800,32700,33100,33500,33100,34000,34800,35200,36400,37000,38300,39600,39900,40400,40600,41900,42600,43400,44700,44600,43300,44100,44300,44400,44400,44900,45500,45900,46600,47100,47500
Belize,1080,1100,1120,1150,1170,1190,1210,1230,1290,1320,1350,1370,1480,1530,1720,1750,1730,1810,1930,2040,2270,2240,2180,2080,2060,2020,2050,2210,2360,2610,2840,3110,3430,3580,3510,3450,3390,3380,3380,3540,3860,3920,3990,4250,4340,4310,4400,4310,4350,4250,4270,4250,4250,4210,4270,4300,4220,4210,4220,4150
Benin,712,724,689,710,745,770,783,776,790,796,795,766,798,809,816,758,746,763,753,781,812,869,864,803,843,880,874,836,839,790,834,840,835,854,842,863,873,895,904,924,950,971,985,989,1000,989,999,1030,1050,1040,1040,1040,1060,1100,1140,1130,1130,1170,1210,1260
Bhutan,,,,,,,,,,,,,,,,,,,,,390,432,436,473,482,488,529,659,671,704,768,759,794,813,854,910,948,981,1020,1070,1120,1190,1290,1370,1420,1500,1590,1860,1930,2040,2260,2410,2500,2530,2640,2780,2970,3070,3130,
Bolivia,1010,1010,1040,1090,1110,1140,1200,1250,1330,1360,1400,1440,1520,1570,1580,1660,1700,1750,1740,1710,1650,1620,1520,1430,1400,1350,1290,1290,1300,1320,1360,1400,1390,1420,1460,1490,1530,1570,1620,1590,1600,1600,1610,1620,1660,1700,1750,1800,1880,1910,1960,2020,2090,2200,2290,2360,2430,2490,2560,2580
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,701,871,1670,2270,2620,2870,3020,3150,3310,3440,3650,3970,4180,4430,4680,4560,4640,4730,4770,4970,5120,5360,5600,5770,6040,6240
Botswana,408,425,444,460,480,497,518,537,581,653,745,910,1110,1310,1370,1440,1530,1650,1810,1950,2110,2220,2410,2630,2760,2850,2970,3190,3670,4000,4130,4310,4310,4280,4330,4530,4680,4950,4860,5210,5210,5130,5340,5490,5540,5690,6040,6400,6660,6030,6430,6730,6940,7650,7860,7610,7800,7860,8030,8090
Brazil,3420,3660,3740,3660,3690,3690,3740,3820,4150,4440,4700,5110,5590,6220,6620,6810,7300,7450,7510,7840,8350,7800,7660,7230,7440,7860,8320,8450,8280,8390,7980,7960,7790,8020,8310,8540,8590,8740,8640,8550,8800,8800,8950,8940,9350,9540,9810,10300,10700,10600,11300,11600,11700,12000,12000,11400,11000,11000,11100,11100
Brunei,,,,,,,,,,,,,,,45600,43900,50700,54200,55800,66000,59400,46200,46600,45500,44500,42600,40300,39900,39300,37700,37100,37200,37800,36900,37100,37700,37800,36400,35400,35700,35900,36200,36800,37200,36800,36300,37400,37000,35800,34800,35300,36100,36000,34700,33400,32900,31700,31800,31400,32300
Bulgaria,,,,,,,,,,,,,,,,,,,,,3650,3820,3900,4020,4150,4260,4440,4700,5210,5100,4710,4360,4090,4060,4150,4280,4530,3910,4100,3780,3980,4220,4570,4840,5190,5610,6030,6480,6920,6730,6810,7010,7080,7140,7320,7660,8010,8350,8670,9030
Burkina Faso,269,276,289,281,284,290,287,307,312,313,308,306,308,304,323,327,348,342,351,356,351,357,382,374,358,378,398,387,399,397,384,408,398,401,395,406,439,454,473,494,489,507,514,538,546,576,594,600,616,616,648,670,692,711,720,727,748,771,801,822
Burundi,213,181,193,197,205,209,213,237,230,221,264,267,247,262,257,255,270,294,284,282,277,303,292,295,288,313,314,322,329,325,328,337,333,306,289,262,238,232,241,235,229,229,232,223,226,221,226,226,229,230,234,236,239,243,245,228,220,214,211,208
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510,321,342,351,355,362,398,431,454,475,507,550,613,669,726,764,753,786,828,874,923,973,1020,1080,1140,1200,1270
Cameroon,957,949,957,971,984,981,1000,872,905,926,931,939,939,963,1040,1120,1030,1140,1350,1390,1320,1500,1570,1620,1690,1770,1830,1740,1550,1480,1340,1250,1180,1060,1050,1060,1070,1100,1120,1140,1150,1170,1180,1200,1250,1240,1250,1280,1290,1280,1290,1300,1330,1360,1400,1440,1470,1480,1500,1520
Canada,,,,,,,,,,,22800,23100,24100,25400,25900,25800,27000,27600,28300,29100,29400,30000,28700,29200,30600,31800,32100,33000,34000,34200,33700,32600,32500,33000,34100,34700,34900,36000,36700,37800,39300,39500,40400,41500,42800,44500,45900,48500,48500,46500,47400,48500,48800,49400,50300,50300,50200,51200,51500,51600
Cape Verde,,,,,,,,,,,,,,,,,,,,,680,726,732,786,800,853,864,889,929,966,953,943,1020,1080,1250,1390,1510,1640,1810,1970,2220,2230,2300,2360,2570,2710,2880,3280,3460,3370,3380,3470,3460,3450,3420,3410,3530,3620,3740,3910
Central African Republic,600,619,586,572,573,568,560,574,570,599,602,599,590,593,621,612,633,643,636,605,563,538,562,501,533,540,547,510,510,510,489,474,431,420,428,447,418,429,438,444,423,432,438,406,422,418,429,440,441,472,488,505,529,335,334,347,360,371,379,384
Chad,697,693,716,691,660,652,628,621,607,636,635,607,599,536,550,586,592,593,579,446,411,406,418,472,470,557,519,491,549,557,517,544,569,464,495,485,479,489,505,484,462,497,519,573,737,834,810,809,806,813,893,864,909,929,961,957,869,818,812,814
