"","country","year","donors","pop","pop_dens","gdp","gdp_lag","health","health_lag","pubhealth","roads","cerebvas","assault","external","txp_pop","world","opt","consent_law","consent_practice","consistent","ccode"
"1","Australia",NA,NA,17065,0.220443289300653,16774,16591,1300,1224,4.8,136.595370641664,682,21,444,0.937591561675945,"Liberal","In","Informed","Informed","Yes","Oz"
"2","Australia",1991-01-01,12.09,17284,0.223272300748461,17171,16774,1379,1300,5.4,122.251793566304,647,19,425,0.925711640823883,"Liberal","In","Informed","Informed","Yes","Oz"
"3","Australia",1992-01-01,12.35,17495,0.225997969312331,17914,17171,1455,1379,5.4,112.832237782224,630,17,406,0.914547013432409,"Liberal","In","Informed","Informed","Yes","Oz"
"4","Australia",1993-01-01,12.51,17667,0.228219841317002,18883,17914,1540,1455,5.4,110.545084055018,611,18,376,0.90564328974925,"Liberal","In","Informed","Informed","Yes","Oz"
"5","Australia",1994-01-01,10.25,17855,0.230648399089549,19849,18883,1626,1540,5.4,107.980957714926,631,17,387,0.896107532903948,"Liberal","In","Informed","Informed","Yes","Oz"
"6","Australia",1995-01-01,10.18,18072,0.233451574816373,21079,19849,1737,1626,5.5,111.609119079239,592,16,371,0.885347498893316,"Liberal","In","Informed","Informed","Yes","Oz"
"7","Australia",1996-01-01,10.59,18311,0.236538943474026,21923,21079,1846,1737,5.6,107.585604281579,576,17,395,0.873791709901152,"Liberal","In","Informed","Informed","Yes","Oz"
"8","Australia",1997-01-01,10.26,18518,0.239212940595927,22961,21923,1948,1846,5.7,95.4206717788098,525,17,385,0.864024192677395,"Liberal","In","Informed","Informed","Yes","Oz"
"9","Australia",1998-01-01,10.48,18711,0.241706087670936,24148,22961,2077,1948,5.9,93.7950937950938,516,16,410,0.855111966223077,"Liberal","In","Informed","Informed","Yes","Oz"
"10","Australia",1999-01-01,8.67,18926,0.244483427676774,25445,24148,2231,2077,6.1,93.2051146570855,493,15,409,0.84539786537039,"Liberal","In","Informed","Informed","Yes","Oz"
"11","Australia",2000-01-01,10.23,19153,0.247415782008521,26545,25445,2379,2231,6.2,94.8676447553908,474,16,393,0.835378269722759,"Liberal","In","Informed","Informed","Yes","Oz"
"12","Australia",2001-01-01,9.53,19413,0.250774425736512,27461,26545,2504,2379,6.2,89.4761242466388,449,15,367,0.824189975789419,"Liberal","In","Informed","Informed","Yes","Oz"
"13","Australia",2002-01-01,10.48,19663,0.25400389085958,28168,27461,2629,2504,6.2,87.2196511213955,424,14,341,0.813711030870162,"Liberal","In","Informed","Informed","Yes","Oz"
"14","Australia",NA,NA,NA,NA,NA,28168,2754,2629,NA,NA,NA,NA,NA,NA,"Liberal","In","Informed","Informed","Yes","Oz"
"15","Austria",NA,NA,7678,9.15573575005962,18914,17425,1344,1255,5.2,202.917426413128,953,16,614,0.651211252930451,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"16","Austria",1991-01-01,27.6,7755,9.24755544955879,19860,18914,1419,1344,5.2,200,942,12,590,0.644745325596389,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"17","Austria",1992-01-01,23.1,7841,9.35010732172669,20601,19860,1551,1419,5.5,178.931258768014,880,14,549,0.637673766101263,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"18","Austria",1993-01-01,26.2,7906,9.42761745766754,21119,20601,1674,1551,5.9,162.28181128257,828,13,551,0.632431065013913,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"19","Austria",1994-01-01,21.4,7936,9.46339136656332,21940,21119,1739,1674,5.9,168.598790322581,803,11,561,0.630040322580645,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"20","Austria",1995-01-01,21.5,7948,9.47770093012163,22817,21940,1865,1739,5.8,152.239557121288,774,10,527,0.629089079013588,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"21","Austria",1996-01-01,24.7,7959,9.49081803005008,23798,22817,1986,1865,5.8,129.036311094359,801,11,499,0.628219625581103,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"22","Austria",1997-01-01,19.5,7968,9.50155020271882,24364,23798,1848,1986,5.3,138.679718875502,770,9,470,0.627510040160643,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
"23","Austria",1998-01-01,20.7,7977,9.51228237538755,25423,24364,1953,1848,5.4,120.722075968409,732,11,439,0.626802055910743,"Corporatist","Out","Presumed","Presumed","Yes","Aus"
